CPUs,Input Parameters,Output,Simulation Time
8,"[[0.3749501883177355, 0.17194975455411046, 0.170441652775481, 0.32653158544859073, 0.18571512673133903, 0.23495406548177689, 0.1623627280298356, 0.21082528195804984, 0.20613043708616127, 0.1959886854133334, 0.16401763578850312, 0.29097073780893845]]","[[163680300.0, 163680300.0]]",71.11
8,"[[0.36692072679212373, 0.2184934412023884, 0.1092581159826934, 0.2293330078215035, 0.2044612826137784, 0.20376340296914636, 0.3262956287951257, 0.23242509847946852, 0.19569098712519983, 0.3135211196000526, 0.1277076832517416, 0.19275408906827549]]","[[767216000.0, 767213700.0]]",72.24
8,"[[0.343901016934806, 0.2389753756989964, 0.19823994217690064, 0.2618104611852478, 0.12953670316545712, 0.09553841458461373, 0.22833704007602854, 0.12658424573856691, 0.11587123340472615, 0.3411423294003304, 0.25565736460066013, 0.22536201776861056]]","[[767216000.0, 767213700.0]]",71.98
8,"[[0.321760413641342, 0.19663572245537533, 0.048358039725923924, 0.22468477537158832, 0.2611179905387519, 0.13949832979999024, 0.022672337311677837, 0.05311890558187171, 0.28140580980391705, 0.1755485191627067, 0.25277343825534, 0.13715297023030792]]","[[109954800.0, 109954800.0]]",76.64
8,"[[0.34784844865254616, 0.10478381657185536, 0.26749594979296526, 0.16528212927256994, 0.3230103434812857, 0.26863071578633646, 0.28151022293520733, 0.24070585850590076, 0.05926359629362066, 0.18139780188802562, 0.2658983031776127, 0.26424315796994635]]","[[469592000.0, 469584900.0]]",77.54
8,"[[0.3378090903767367, 0.2591226373558314, 0.09835825166139929, 0.3171328156118216, 0.29251401242604247, 0.2426443642252757, 0.18168526820481956, 0.10109027879915498, 0.1451832143679077, 0.1448024784378713, 0.015940618598582312, 0.11809024022771851]]","[[912358100.0, 768662000.0]]",90.54
8,"[[0.3601893324266584, 0.18166950077310728, 0.23289400244473846, 0.18964260670632177, 0.14479647043286684, 0.185982431604189, 0.08365390348287263, 0.20442314035077536, 0.08641522533012475, 0.22568425304648157, 0.06954486918491312, 0.15866294651890106]]","[[807445600.0, 807061800.0]]",85.18
8,"[[0.33973333820576745, 0.16081790355051012, 0.33562150971473226, 0.10877413754416337, 0.21587411622892297, 0.40902554453248396, 0.14691866916205792, 0, 0.15926256199216599, 0.2481268475030216, 0.2921271463153785, 0.22070964508284657]]","[[702358500.0, 700213500.0]]",64.59
8,"[[0.38521672950050123, 0.2278814909228133, 0.2747089170692804, 0.11719377517905505, 0.27778181919686146, 0.14949518429395472, 0.24121901903347556, 0.22558337152516736, 0.3182150595406691, 0.13736683638050962, 0.1889006452977438, 0.28280805237407813]]","[[912358100.0, 764672600.0]]",87.1
8,"[[0.3941904516771533, 0.12250178148941496, 0.1450612225506761, 0.27498390717611076, 0.22772186238789754, 0.05499537210386751, 0.2205709253736943, 0.24773448040137847, 0.22293668534795955, 0.24068959959301972, 0.2154998931460192, 0.17992892023416465]]","[[871537500.0, 871479400.0]]",92.33
8,"[[0.3528243900169934, 0.293951141273171, 0.15142122781617973, 0.20247290019604564, 0.15740035641610522, 0.11970923733036559, 0.14148013645676968, 0.2244133649895985, 0.17541771680178375, 0.11518757712344659, 0.31869895385089075, 0.3237532945322231]]","[[829762700.0, 825529500.0]]",88.25
8,"[[0.32414896562121287, 0.20354734397538998, 0.21106830948960134, 0.15499446721556703, 0.19691651326111442, 0.2723042966611212, 0.29204207002261184, 0.11676482134883191, 0.2386682518839519, 0.1263639979158387, 0.2233496281024632, 0.07012443623490552]]","[[131109200.0, 131109200.0]]",83.75
8,"[[0.3282205220335115, 0.07377213734615273, 0.1779672705993548, 0.2469180591169736, 0.058807900279338604, 0.22157599804841918, 0.26182910434673057, 0.1464931992357743, 0.25715296863489273, 0.2321447287013044, 0.19969420088253467, 0.23930597269756562]]","[[2637169.0, 2637169.0]]",81.35
8,"[[0.13040383654773313, 0.08319909357548667, 0.22188936112864233, 0.06274948388288182, 0.2048516416299481, 0.21824356763388697, 0.09132197395743649, 0.2486123928082705, 0.2173382286261294, 0.19746735397457002, 0.141374767168005, 0.0570325516501998]]","[[829708200.0, 829420100.0]]",82.11
8,"[[0.1435390825902315, 0.1365870554769471, 0.2596444482566979, 0.18119587672544318, 0.1254148992249034, 0.03303343623751542, 0.1539502079209492, 0.14572197169317638, 0.262303731730016, 0.180102329843368, 0.27828887534776264, 0.2903068857670147]]","[[915523200.0, 731280300.0]]",81.88
8,"[[0.33085813868256453, 0.3241437200034143, 0.30921393152674187, 0.18674625511542128, 0.24101657927628511, 0.18965115527750434, 0.12467939198575467, 0.08521610564355515, 0.2341226818525966, 0.2979500951470656, 0.17248476894464354, 0.20816460372395468]]","[[927217500.0, 702317100.0]]",117.99
8,"[[0.3340453297399394, 0.14166021029697368, 0.2125105717129909, 0.1406361876439284, 0.17061226464425922, 0.17295306567796512, 0.20882305475833948, 0.138146224957327, 0.16760232451642781, 0.18922834324956933, 0.10941073996582468, 0.10307208483238618]]","[[909065100.0, 909062500.0]]",143.66
8,"[[0.14253504776975412, 0.3878724542933036, 0.25028802997628635, 0.13105003232272322, 0.257540403724233, 0.12452058605875957, 0.3029537031873328, 0.10251488522942905, 0.1359428437591213, 0.32360212890184953, 0.2349527383222487, 0.15534680487221336]]","[[909065100.0, 909061000.0]]",86.27
8,"[[0.14622802127887513, 0.2499761285248893, 0.12518870954962139, 0.21754549559114816, 0.1693552529082969, 0.15966761208525465, 0.18684278066802606, 0.11537416866015339, 0.24858968127780623, 0.2940596052557191, 0.1349710429704482, 0.17767991821240622]]","[[868475400.0, 866674300.0]]",85.83
8,"[[0.14461663403506417, 0.2626300997434568, 0.16060360305719046, 0.23892761158600453, 0.21865640954931234, 0.3147863955168088, 0.22867565761753794, 0.08700341441694469, 0.22662217806521515, 0.12351290037523394, 0.33372941470663164, 0.3003101698797461]]","[[909065100.0, 892861900.0]]",83.87
