CPUs,Input Parameters,Output,Simulation Time
8,"[[0.27316706096219806, 0.2555268938233251, 0.17225421972906726, 0.25765022227556844, 0.2706467065307322, 0.32066326289926717, 0.2228662494954913, 0.15442588306865426, 0.15807518680045274, 0.18219809126635342, 0.07906641233502969, 0.24603363894593488]]","[[54246030.0, 54246030.0]]",21.96
8,"[[0.2707522860338968, 0.34557533289714654, 0.2633727484966997, 0.24249770092056444, 0.32848709500457907, 0.1513625475666429, 0.17891995122540047, 0.11629767599447562, 0.06582254228350046, 0.22906611190171597, 0.2922360711255293, 0.3573145341485454]]","[[64171120.0, 64171120.0]]",6.21
8,"[[0.2734049381487902, 0.16935585537616232, 0.21940338212331753, 0.29437623138474706, 0.360256358194737, 0.21147377172268622, 0.24266935028873202, 0.23200479115738376, 0, 0.2702175749093797, 0.23628457125378413, 0.23889112150558217]]","[[32770550.0, 32770550.0]]",5.75
8,"[[0.27432007528709357, 0.3076864160443178, 0.11690999140664339, 0.1910605231655324, 0.1552456945788542, 0.18178525657752398, 0.06297157431759948, 0.2015799647914511, 0.1936330793213887, 0.21836078182775662, 0.21738483750254414, 0.2085985213075987]]","[[59142240.0, 59142240.0]]",5.76
8,"[[0.2704223500441314, 0.20254601231793826, 0.1496757889014582, 0.14867925063179838, 0.23894099041452282, 0.2807281625996737, 0.2083710211343749, 0.24794078439090356, 0.17733549588795966, 0.11973368012768862, 0.13218662459042219, 0.12999235618091093]]","[[59142240.0, 59142240.0]]",5.78
8,"[[0.2711267190753038, 0.18498218200980304, 0.07319385256312008, 0.21422330033869494, 0.28014698530603116, 0.11749879408437083, 0.15842246567209137, 0.25874444753123255, 0.15344737001987965, 0.1053598313759633, 0.17293903331430605, 0.32667001156868436]]","[[59142240.0, 59142240.0]]",5.75
8,"[[0.27385129644626327, 0.04355236756242084, 0.1840647968421757, 0.22861851855594267, 0.11096488821680058, 0.21715090252089722, 0.26666270910756507, 0.3806560711404311, 0.16483605745869315, 0.23658871335311316, 0.35689244190552744, 0.15524655185084704]]","[[39556670.0, 39556670.0]]",5.99
8,"[[0.27297821493647995, 0.24450970165238234, 0.2774184809072308, 0.13220434899278638, 0.21451714547939602, 0.1903581277679034, 0.18990305065868066, 0.27902739449048963, 0.1153464199594277, 0.3083168355341277, 0.2562313827115501, 0.18938611997289181]]","[[44831010.0, 44831010.0]]",6.21
8,"[[0.27127443050814426, 0.13432673747047288, 0.40398942328309356, 0.2750777278114148, 0.029580163356617617, 0.14558040837350816, 0.13521832692197538, 0.21247692363693585, 0.089428905043998, 0.17501468752702298, 0.05710820680037415, 0.06549585076324557]]","[[55379680.0, 55379680.0]]",6.5
8,"[[0.2720223393559391, 0.2851705169522476, 0.2388668878760027, 0.03337131851166664, 0.18428662587580355, 0.25674024840258103, 0.32843083272514934, 0.3192218322502489, 0.13052552078680263, 0.16996229531089863, 0.18022782666949233, 0.2627559448849561]]","[[64171120.0, 64171120.0]]",5.78
