CPUs,Input Parameters,Output,Simulation Time
32,"[[0.2169623706936958, 0.25909346380789006, 0.24486439054563458, 0.17191405909025326, 0.256142242961039, 0.1908185283551241, 0.19410154631659166, 0.18998737245204791, 0.4033528411217857, 0.021768830750000245, 0.1333769146995884, 0.25296582725849776]]","[[897612200.0, 851849300.0]]",29.23
32,"[[0.11934428297497736, 0.17093561534736476, 0.13964314001750247, 0.22054931615695628, 0.16694417301696454, 0.335492300557079, 0.30395829897624793, 0.226435699550912, 0.1524936198318701, 0.25879158031368965, 0.207350170301657, 0.16068592908246793]]","[[895690900.0, 893397600.0]]",32.13
32,"[[0.29550362917861117, 0.1222048675810601, 0.16198166703111264, 0.284740701218132, 0.23265672806733687, 0.1345080511178875, 0.21774581181848282, 0.13792962516698065, 0.20272120041469155, 0.1728620306568675, 0.15831482629593457, 0.35302380334630634]]","[[903069900.0, 778046000.0]]",28.18
32,"[[0.16175937879226332, 0.2448539249158479, 0.28990550653576147, 0.10534817577967887, 0.1443566268383807, 0.2428123619730848, 0.05787081847660952, 0.3002607965362791, 0.14192241672540656, 0.22114814167297603, 0.3426757924132717, 0.05953833029597755]]","[[883840400.0, 878310400.0]]",32.13
32,"[[0.23664700634741692, 0.17646117177902557, 0.35638726355230926, 0.18601674049628142, 0.3321439101160622, 0.09455255322387415, 0.2838744483596557, 0.20182150778696512, 0.19922570768623205, 0.23191246129007367, 0.24976061433285418, 0.2233914353461992]]","[[906506400.0, 820480800.0]]",32.99
32,"[[0.1078759860954357, 0.37511306897758667, 0.19231475262720682, 0.2319406539777662, 0.18083840982416377, 0.21839453210455648, 0.15111765994256657, 0.1620449578053391, 0.2595933918363683, 0.18656012564541946, 0.04436089258346512, 0.1854775370440632]]","[[899222300.0, 777955500.0]]",36.01
32,"[[0.283091337938614, 0.21107818612827242, 0.10651213959271374, 0.3075448671020285, 0.21876571322509336, 0.16778246665341365, 0.13631929060100112, 0.25927002316057146, 0.028243592280054408, 0.3415993634547542, 0.256987382355869, 0.28423147430066953]]","[[907634400.0, 776903900.0]]",29.34
32,"[[0.1813239665600549, 0.080832903343721, 0.21379217637735642, 0.12988090326512314, 0.06947911835502874, 0.27932224611422235, 0.2336749931261387, 0.08926523243316664, 0.24888844326810738, 0.13017419347154102, 0.19510998116122683, 0.12490470330130933]]","[[861274000.0, 853027300.0]]",29.43
32,"[[0.20550487197118952, 0, 0.1279978685231017, 0.031176491638136183, 0.19118198569874795, 0.15671407616321836, 0.2038378368734346, 0.1185879674281972, 0.2173264502591793, 0.29872854163207363, 0.12273117988002961, 0.2088886792332386]]","[[828531500.0, 821763900.0]]",25.24
32,"[[0.1360569485083881, 0.22368171421001795, 0.22654877635668766, 0.25534322470954873, 0.29095126980515895, 0.26386508302949163, 0.10199260804365211, 0.3335409376106697, 0.1282798620923469, 0.11266473406679185, 0.21523255339637318, 0.19685350613524868]]","[[895907600.0, 895540300.0]]",32.48
32,"[[0.32155983615538897, 0.3141024592860114, 0.2633905386786003, 0.20301590438455186, 0.10834541938127085, 0.06277930078170801, 0.18298430593520026, 0.1769386903578026, 0.31001308666531247, 0.24804466683062326, 0.16689980934817347, 0.26769794856899964]]","[[905199700.0, 725730300.0]]",36.92
32,"[[0.14930841711559664, 0.18946694309471993, 0.1524294472413464, 0.15223301157845792, 0.20925280178487835, 0.2079931220176505, 0.3378688820863106, 0.2386188741275398, 0.16453316387247213, 0.19758278407454458, 0.31203426764086056, 0.14424051455363868]]","[[882275900.0, 879719000.0]]",30.02
32,"[[0.25270024408002995, 0.231293289347628, 0.17543022903692754, 0.13692187506249812, 0.15204570942566717, 0.12256083903649455, 0.11957790314775041, 0.2792137001586698, 0.09293851833173417, 0.1612145028516874, 0.23072599966277085, 0.232676143153785]]","[[875888400.0, 857120000.0]]",30.58
32,"[[0.07338492377083697, 0.14072756330724487, 0.31944249561011717, 0.32227065248992254, 0.27130962316901164, 0.23262177159108324, 0.24578746527585577, 0.03754343543805003, 0.23763314290012366, 0.20721658217189556, 0.10417131958752156, 0.16950525099081099]]","[[897720300.0, 891321500.0]]",45.29
32,"[[0.2617173713386783, 0.15712803463528174, 0.20548018598192933, 0.2399830757369519, 0.12817477831306076, 0.18278039204421584, 0.26277292275278435, 0.21544514565815953, 0.18384696838642506, 0.08186627257083526, 0.28133077311633625, 0.3200124795600635]]","[[897432400.0, 826533700.0]]",31.17
32,"[[0.195969708622346, 0.2769203498704278, 0.05658051702229289, 0.19353094758501796, 0.24845153179899254, 0.30637596303275694, 0.1672379813210917, 0.14796916574337132, 0.2747085662152464, 0.27961675555032656, 0.17746361968398178, 0.10777773983941968]]","[[898186800.0, 894162000.0]]",70.31
32,"[[0.22316954230995492, 0.16592523757550093, 0.19455110830034608, 0.37130887848422284, 0.09361453330348014, 0.2500727362211117, 0.08177611379189681, 0.23275020375962413, 0.2631743946396736, 0.28835439445442507, 0.14212571961860737, 0.2940871954745594]]","[[907886100.0, 833466900.0]]",36.05
32,"[[0.12884047866166515, 0.26541546375019603, 0.3430104355579415, 0.1408013741299486, 0.2018149118721965, 0.1432603763064516, 0.2114027253529638, 0.19667350613442208, 0.18841329428989795, 0.09739439988275575, 0.20092158846191613, 0.08485334059973891]]","[[881343500.0, 870330300.0]]",36.05
32,"[[0.309409907274951, 0.2466795492719335, 0.2246643706292524, 0.19684787405929996, 0.1978002457761478, 0.37509411030422657, 0.4652775400521542, 0.31514883520684345, 0.24264006354329548, 0.2005971468352645, 0.1512982300899145, 0.22887349849828148]]","[[920813600.0, 757500100.0]]",205.92
32,"[[0.16835399643592613, 0.11968341695061262, 0.08042782774751814, 0.251212481092852, 0.3074042220943677, 0.1971386340050345, 0.17517986974044106, 0.14662965511332296, 0.06801552839441005, 0.15273185646412824, 0.4016608009336794, 0.16492514647142473]]","[[898499700.0, 898184200.0]]",31.21
32,"[[0.23010296313048376, 0.3280740084880984, 0.13663168906990306, 0.2681780013889622, 0.11993116018476413, 0.2905498976404645, 0.2406388869296083, 0.16855604553002349, 0.15602676648442548, 0.1918293273183348, 0.24223964924514418, 0.2537152170664232]]","[[907790300.0, 829711200.0]]",42.93
