CPUs,Input Parameters,Output,Simulation Time
64,"[[0.17630349743857487, 0.30239260279703967, 0.24986666851840283, 0.15688378277780063, 0.11056397670716071, 0.11836956654427461, 0.26812414079903707, 0.22840565672163918, 0.24939004826779812, 0.32004512216510184, 0.13154571799978176, 0.18239106405121355]]","[[889437100.0, 861499000.0]]",47.66
64,"[[0.1512610670230822, 0.16536927306086302, 0.25906905590791396, 0.1987384163579159, 0, 0.15353031873935025, 0.12637039571081282, 0.1924002930973903, 0.11913048633469488, 0.07137605264113905, 0.3236479351752454, 0.161244493886958]]","[[796838100.0, 792672300.0]]",139.73
64,"[[0.16763938637488746, 0.28980868189572245, 0.13657393030382217, 0.1720534819152661, 0.21860693399051037, 0.1520624345124698, 0.19354019243977222, 0.2682393887029295, 0.12826384134569702, 0.1700792873914221, 0.26264569232497526, 0.13348809705747652]]","[[893511700.0, 893348300.0]]",180.37
64,"[[0.1987814614920444, 0.14021471870275937, 0.24478859742960338, 0.26988645595713046, 0.21349200995203763, 0.2553539983639116, 0.12270059047231636, 0.2565568423525612, 0.19579397151897998, 0.24495371346970785, 0.18921521723300488, 0.2055641594423236]]","[[893511700.0, 893341100.0]]",56.43
64,"[[0.18505128329687542, 0.14975130341515308, 0.2897520117189634, 0.17072889611892567, 0.30433990053909465, 0.14076922993446858, 0.31382398497783187, 0.14810188460450502, 0.08958668735243724, 0.22164183780066465, 0.17772917808162822, 0.2724283156136353]]","[[866333500.0, 864003200.0]]",179.02
64,"[[0.16309730915456627, 0.06998423051972469, 0.18404094763840714, 0.0910656890273153, 0.06869951975053834, 0.181622470264026, 0.22560016531714489, 0.42262185614095094, 0.27178600525506386, 0.31163646350333707, 0.2531799250372341, 0.2627351101652297]]","[[866333500.0, 863705700.0]]",36.53
64,"[[0.3170232376027251, 0.09740636145375937, 0.16969139055060908, 0.2610369579281618, 0.2703378021217513, 0.05887758601382859, 0.2800156796327344, 0.12598571945706907, 0.28174967532528106, 0, 0.29596492337863434, 0.2830115337004784]]","[[841445600.0, 755849600.0]]",95.95
64,"[[0.36585871403331915, 0.18535313353313898, 0.11053780754545274, 0.16689006507174659, 0.22472825453297157, 0.24485794556867832, 0.08349014911045247, 0.2954132538503711, 0.21345836579848654, 0.12105140703992892, 0.38245805344446404, 0.2439788996000062]]","[[490689300.0, 490688100.0]]",36.69
64,"[[0.2533413309723903, 0.17607921753852912, 0.2523214200318414, 0.3284652230150791, 0.25708755358439883, 0.20358538801176598, 0.2556050922446256, 0.19196106867212612, 0.16451762080399174, 0.14698145048511344, 0.25592649820990243, 0.19139678373474373]]","[[841445600.0, 755849600.0]]",177.93
64,"[[0.3884663279149045, 0.06394720714088645, 0.21826591661689065, 0.22490475310339494, 0.1933976683244684, 0.2844883714435396, 0.3223655125945645, 0.2581302948775586, 0.08700192211233683, 0.12994951464058024, 0.19287603250363014, 0.2153218980258758]]","[[914944900.0, 753496000.0]]",66.12
64,"[[0.2934599050087914, 0.1735013918862278, 0.20137487072540844, 0.18294223876698815, 0.4221849469802674, 0.22863896517519613, 0.1767069253677887, 0.23203813929344588, 0.12333751539206012, 0.05467582367574869, 0.22275122984415788, 0.1593553428448773]]","[[903253200.0, 793682500.0]]",130.48
64,"[[0.28572580716001494, 0.1357080688863172, 0.23314659434095392, 0.048351139972526186, 0.1578523380335809, 0.36346556210795866, 0.16180479564387557, 0.09779078324029776, 0.18309930569410654, 0.19394150160200493, 0.12211842482490744, 0.23422578813079797]]","[[912040400.0, 912024100.0]]",48.89
64,"[[0.2557452490078877, 0.37625697348611953, 0.1567801447059104, 0.18633125446763343, 0.24505025349480153, 0.26964791768297314, 0.3819717958868519, 0.1828538369193308, 0.07573360087457688, 0.26385007819945083, 0.14265596847815248, 0.20325268460052776]]","[[912040400.0, 811869800.0]]",185.4
64,"[[0.2713305170203856, 0.31759641500310926, 0.20343135998749318, 0.13704524114822028, 0.07998954412648461, 0.10515366260052948, 0.2761573631187134, 0.20176100738078429, 0.25802412608461833, 0.3595783031337313, 0.2372498839655903, 0.26771628343244847]]","[[905394300.0, 748016900.0]]",48.16
64,"[[0.33440912969557024, 0.12477168437368412, 0.35149804463787454, 0.3683226341000635, 0.23867699884233476, 0.09992741991633797, 0.2347684791769104, 0.17968943637058665, 0.17698607584974194, 0.1104272091775019, 0.20238361143314196, 0.11179234346223925]]","[[909935200.0, 815242500.0]]",59.63
64,"[[0.2997163728929618, 0.22901111655922793, 0.25685468415171336, 0.14576780200482203, 0.17782047244857777, 0.20273846555582783, 0.25020403829685695, 0.2139022690418196, 0.33846989459812094, 0.22099886230713844, 0.32066743416093985, 0.219431492386762]]","[[914362700.0, 758167500.0]]",36.91
64,"[[0.27617672211765765, 0.08892358155549172, 0.2594880583634393, 0.17760467358501353, 0.20976132635754485, 0.14161463923087583, 0.06606579510776234, 0.24937725395356342, 0.10190790271449304, 0.18189300954287196, 0.286028476704826, 0.096972996740777]]","[[882707900.0, 839450100.0]]",34.51
64,"[[0.37790507284253605, 0.261443802702345, 0.1465844036351216, 0.12190130215161743, 0.235306144724419, 0.18069065601751008, 0.18131040549955, 0.33807215542477226, 0.16627606207596585, 0.18463433195050438, 0.1619319638419127, 0.23456512901812454]]","[[910241800.0, 730688500.0]]",36.69
64,"[[0.2672178592644297, 0.24781928190618943, 0.2146293659606665, 0.2569966734622106, 0.21903071193616422, 0.17715320394694004, 0.15353960720265827, 0.3185504045117568, 0.38125093554134015, 0.25533814429953106, 0.15206864661855393, 0.08779740718555379]]","[[736919200.0, 736916500.0]]",299.99
64,"[[0.2659098783023303, 0.19440602860375697, 0.14119738114354322, 0.19165383654613927, 0.14965161504519844, 0.28812013224053773, 0.2897852742698113, 0.2904587974820578, 0.24857727738797586, 0.2238457411946513, 0.177909192431185, 0.12403985406177807]]","[[895858000.0, 819007800.0]]",49.38
