CPUs,Input Parameters,Output,Simulation Time
4,"[[0.07448629474905141, 0.03012327851891866, 0.2590703345174309, 0.2813782887806912, 0.2463889360185204, 0.25187855069866827, 0.11112311509783164, 0.2076297339394705, 0.21018491243911744, 0.22564393721724182, 0.07876589416239194, 0.08880393081746528]]","[[880671500.0, 880618500.0]]",126.25
4,"[[0.09616914262983635, 0.177775431130015, 0.18886705293565248, 0.2568535932237501, 0.19811002656766802, 0.17571101347764637, 0.3269256058216694, 0.3762890697193332, 0.19359689854234396, 0.14587554472346226, 0.25867081370701317, 0.13631458628554877]]","[[827705400.0, 823598000.0]]",125.06
4,"[[0.08971237048747815, 0.26613861029568187, 0.11586587501611473, 0.2756642318619574, 0.22148302599969588, 0.1899979562809969, 0.290012779591442, 0.12414383852143666, 0.22068406965402898, 0.19895633569731042, 0.20624994571320512, 0.2663555813644618]]","[[755752400.0, 752949600.0]]",124.82
4,"[[0.10180820609139854, 0.12484793910606744, 0.10698983788789115, 0.39532583509821334, 0.3087290900760914, 0.2373571716819335, 0.16022048822129187, 0.2685951532043971, 0.18447606513609388, 0.21345959213509588, 0.17870444109041395, 0.20984224366392723]]","[[844525400.0, 844510900.0]]",128.17
4,"[[0.0586148500765995, 0.11568599298498405, 0.17984983624454667, 0.06183884878071538, 0.2827988175511916, 0.11904373112047403, 0.19464425907547953, 0.2059180360477668, 0.15762304727781667, 0.10493785491588646, 0.1594742520079614, 0.2186661721616186]]","[[887409900.0, 886468900.0]]",127.47
4,"[[0.10336574531157217, 0.06490327493405729, 0.2508117621574315, 0.1266645784350786, 0.20666807716496582, 0.1377414803615214, 0.09380122122026112, 0.25406586163556566, 0.23395730210719018, 0.12587399769888713, 0.11875328938367817, 0.07683249405289412]]","[[877793600.0, 877154700.0]]",122.77
4,"[[0, 0.08578814294586048, 0.12395829974037945, 0.17520151271726667, 0.09281119664664367, 0.2621602875282673, 0.1367162517390444, 0.15156153626162633, 0.1328606633484396, 0.02004034510716607, 0.2730653139039511, 0.197480583236327]]","[[919024700.0, 918980100.0]]",115.2
4,"[[0.07085761456830222, 0.1579491699347809, 0.2342577581637544, 0.2987133791489719, 0.12916053323928395, 0.18840648522958986, 0.22342575597445768, 0.24933724543646082, 0.21761404488434927, 0.07596594408579116, 0.23718293278766256, 0.23609245589904237]]","[[52919200.0, 52919200.0]]",136.79
4,"[[0.07693940034521243, 0.3363747106675412, 0.08091156080870497, 0.15655652182439025, 0.18079290943283216, 0.09082454472437781, 0.23170461029618447, 0.22560007595749013, 0.2582340820956074, 0.31443048684935526, 0.14506703534191892, 0.14339286933702017]]","[[205875000.0, 205875000.0]]",128.66
4,"[[0.02778635816013103, 0.1706532165833521, 0.1521900881019083, 0.17289889113071769, 0.20118694667831627, 0.04977930139767192, 0.2082641923579601, 0.1930798783175403, 0.12168860949726622, 0.23567935217497446, 0.19003981702500944, 0.2590489825654894]]","[[891259500.0, 891157500.0]]",134.24
4,"[[0.05186689647120271, 0.13262352550513062, 0.20701518495394972, 0.24128666538379356, 0.1911659536229172, 0.16256224085277346, 0.1863179027535313, 0.15733756164009677, 0.3324824074397403, 0.2525281444011256, 0.21292881629519234, 0.41612866783673663]]","[[253344100.0, 253344000.0]]",134.33
4,"[[0.08582946445739484, 0.10581085155722411, 0.1634204715810012, 0.21594766412278704, 0.11798922688538557, 0.14803109647893506, 0.002440078408203372, 0.06764532390901126, 0.0903906728559176, 0.21160465924538566, 0.36696326727023987, 0.18118069293985242]]","[[745697300.0, 745136000.0]]",111.67
4,"[[0.10029622292696823, 0.2831231942702199, 0.2651200695611209, 0.18598995074174118, 0.1362809726476668, 0.03918018835430176, 0.2614427722116783, 0.3040069222699482, 0.11735533243631197, 0.2863131459558773, 0.16600862206773065, 0.2288197914995878]]","[[759333400.0, 751632300.0]]",143.31
4,"[[0.09514588710800642, 0.20341868387643117, 0.1574359158194081, 0.30671851054841903, 0.06923311199596383, 0.24993839012444452, 0.1779914585674786, 0.09796136044065802, 0.2014381866559533, 0.27104341554784817, 0.12237614278800361, 0.19213439510606095]]","[[877793600.0, 875302000.0]]",139.16
4,"[[0.09805628631994942, 0.21446354903125356, 0.22902498518153555, 0.16154167581144996, 0.2270812867382276, 0.2642668275313795, 0.1911700348522704, 0.2771409976520887, 0.14515304337386967, 0.18964890990931288, 0.3349044514754801, 0.10450404993641554]]","[[343007800.0, 343007800.0]]",141.27
4,"[[0.08774908672477039, 0.31392655179167295, 0.20565125131481676, 0.05190240954435485, 0.35472824253561763, 0.30898805985721467, 0.2055313430169171, 0.11673627994169328, 0.17233907753538716, 0.2567103244152859, 0.2637175100023324, 0.1606366832317955]]","[[899277000.0, 899056600.0]]",152.04
4,"[[0.04055401084989907, 0.20874747253687106, 0.1334542628070142, 0.10516362713449202, 0.1434335879320009, 0.1355640970341764, 0.16512898474807058, 0.16155823503981684, 0.23046855732636196, 0.17221610018658035, 0, 0.18640045752869558]]","[[1230679.0, 1230679.0]]",120.37
4,"[[0.05478848570367931, 0.2768380024523189, 0.24141422869763374, 0.220297996878999, 0.04052423128787472, 0.209929229675423, 0.4370785162097689, 0.23773038260174129, 0.014294948673081093, 0.16204060369951806, 0.19728353793479417, 0.2524793008090018]]","[[843911400.0, 843891800.0]]",141.01
4,"[[0.06776462083289583, 0.25054659845516647, 0.19992036990451004, 0.19331212301523845, 0.3224725877209632, 0.2834389797017863, 0.10187918805281891, 0.21439353671561692, 0.2898124518078946, 0.14999741075886894, 0.22514249723676505, 0.20452163453926359]]","[[484844600.0, 484844600.0]]",148.42
4,"[[0.06512848210058539, 0.22332907234214644, 0.28521874897189653, 0.2285613596632912, 0.21437650800638677, 0.14991427412163516, 0.14973365508482395, 0.22273250635678554, 0.09914387601827333, 0.40297706339418704, 0.2877357835606949, 0.04498662890064739]]","[[908006600.0, 890007200.0]]",143.98
4,"[[0.047502215213342885, 0.2565840172674316, 0.17163700760197076, 0.11019937414552396, 0.2345330470078527, 0.36024447492207523, 0.3056805926304006, 0.17661837764327676, 0.25122063756069674, 0.32857656917157463, 0.22603664548182045, 0.2797411502918883]]","[[205875000.0, 205875000.0]]",170.14
4,"[[0.08044509545206507, 0.22924111741370448, 0.3049528462306977, 0.14085946357471052, 0.18638896027996113, 0.11635009287082246, 0.14241360084944987, 0.09468351596999797, 0.15356537847576737, 0.18525354061167343, 0.18411445603109328, 0.3403776459041713]]","[[893841800.0, 893779500.0]]",152.07
4,"[[0.10775990687573524, 0.14981356327630732, 0.27279298819077835, 0.08096806234178335, 0.10830937592309202, 0.34949299614862017, 0.23380241397367307, 0.3287299376103163, 0.23960230513327596, 0.20230962436008135, 0.20563419498882674, 0.24420763944918386]]","[[903952500.0, 903951000.0]]",134.59
4,"[[0.0931030207827158, 0.19174118187532985, 0.22401785619934667, 0.19599609933515708, 0.27403507363781493, 0.09463897941490965, 0.2994286018102323, 0.1304566347577669, 0.2613625825305501, 0.22304376272535428, 0.09605586635798534, 0.1724612382826338]]","[[31821840.0, 31821840.0]]",148.29
4,"[[0.017066780305451668, 0.23502514245207742, 0.2130700572873187, 0.26789188456290686, 0.17345119647039534, 0.23561637937906482, 0.06790761627904021, 0.1734500951596693, 0.17560724812143805, 0.2925003021150674, 0.1491371659455516, 0.3142561184403981]]","[[875676000.0, 874879000.0]]",154.88
4,"[[0.10495253273455465, 0.35752690229121636, 0.18163675501769677, 0.2518545737557709, 0.16760751313730077, 0.22257814601132267, 0.21269592947971283, 0.30709461435503227, 0.2959875096961631, 0.17565690848865584, 0.0945780305853631, 0.12017437335045977]]","[[899787800.0, 899746100.0]]",150.71
4,"[[0.09169891432256677, 0.14404351641873617, 0.32558639053445226, 0.15335042076018016, 0.15121137824477784, 0.2808332931057454, 0.1697640727712933, 0.01542504070751577, 0.27442825250944847, 0.13348906736573055, 0.24735772117296226, 0.29786047192647014]]","[[137308600.0, 137308600.0]]",142.91
4,"[[0.03402103552926544, 0.1957122601643276, 0.3008727029695967, 0.21153662683716865, 0.2962616996517955, 0.22416280041486414, 0.27346516933327464, 0.19491168591205102, 0.32044436482744, 0.08190076731066186, 0.13108015311050006, 0.15264986684498905]]","[[184777700.0, 184777700.0]]",153.33
4,"[[0.08293600231053196, 0.16635359091701035, 0.1441676469803606, 0.2331859463590848, 0.24005370674555024, 0.2114710715128358, 0.2504807353540172, 0.14477464587504477, 0.07519620735606937, 0.10987168646786856, 0.17006638444267647, 0.28876146744612285]]","[[564530100.0, 564530000.0]]",144.7
4,"[[0.10608739298438352, 0.24039310982494067, 0.049535318487831215, 0.20257096670246263, 0.25394466328314386, 0.16424925218345732, 0.12620906607129456, 0.2845498296583774, 0.35171648532935984, 0.26947416061878227, 0.24476719691145038, 0.2240051476739208]]","[[899787800.0, 899731000.0]]",151.76
4,"[[0.3131999757958392, 0.15678633931878705, 0.21578186854694675, 0.1690616054910446, 0.16630620542089478, 0.2003489259522585, 0.0792739136225508, 0.3818295999413499, 0.19872534644408357, 0.2168274113866972, 0.05790772691710991, 0.15633315030629302]]","[[886922900.0, 750983700.0]]",146.6
4,"[[0.2915651287289619, 0.2989565687611323, 0.2546096446125673, 0.159772357260114, 0.2415679337325784, 0.21438857924871635, 0.14421405052489275, 0.12376771733496711, 0.21522248287787082, 0.27488462414279713, 0.1507774387341128, 0.24136807302033575]]","[[490689300.0, 490686900.0]]",146.94
4,"[[0.2959135056259197, 0.23602907064584927, 0.23722172680064987, 0.19069095779917133, 0.11583352933788017, 0.17310622600297412, 0.20150407050966773, 0.09739807185423059, 0.20637322580138256, 0.19564874750141792, 0.30037467977684335, 0.06202640275489854]]","[[901027800.0, 811335700.0]]",147.81
