CPUs,Input Parameters,Output,Simulation Time
16,"[[0.1615328420336371, 0.10686307993088863, 0.1637839259951159, 0.19219887639960578, 0.22166360389283885, 0.17722202324406136, 0.31572458696926353, 0.19379640026745254, 0.26368400727095714, 0.15509801286827224, 0.21441434431305598, 0.1902616709882998]]","[[64171120.0, 64171110.0]]",3.62
16,"[[0.07768629580500375, 0.32467741384889737, 0.17060774278051957, 0.2565222972175959, 0.24814361390957873, 0.10241042028373498, 0.08304732399576756, 0.1694240419378229, 0.18949277906158074, 0.09081647928652142, 0.24980944675717803, 0.27718205132237406]]","[[64171120.0, 64171120.0]]",4.08
16,"[[0.22266182299035006, 0.3025138122456936, 0.21316766514379182, 0.3640059172629532, 0.25873945563326184, 0.2026861203436989, 0.13340108331960648, 0.18849938205398137, 0.15346172722973167, 0.218356757971622, 0.2607038532228423, 0.19916656984382122]]","[[43663650.0, 43663650.0]]",5.1
16,"[[0.3846249788757627, 0.15302075146509753, 0.12426630167037724, 0.11500407844168829, 0.07866472146807495, 0.20606295916449777, 0.23502253317031813, 0.22763572909043114, 0.192170919919809, 0.23111436112509517, 0.18586300905959882, 0.2696279585130342]]","[[59486670.0, 59486670.0]]",4.42
16,"[[0.13140625482204785, 0.25250161606066956, 0.30610183898335497, 0.23420282991426203, 0.16237320908417763, 0.17994250371934759, 0.19186074674515202, 0.22995353950223318, 0.35160790679684606, 0.1940953066067672, 0.13891663537428622, 0.2552621186918504]]","[[64171120.0, 64171120.0]]",4.23
16,"[[0.2744590908307484, 0.31256924643694817, 0.1822116481203473, 0.07479327795158514, 0.11634071943079821, 0.27893224674375705, 0.18187632356716008, 0.09869246235293966, 0.20448249493393914, 0.18486147903621403, 0.3453941923028808, 0.29242812434931326]]","[[36932190.0, 36932190.0]]",3.92
16,"[[0.28374128870392334, 0.18178435156820372, 0.2568961366360428, 0.23032175048376513, 0.20960836420446888, 0.13903806196359333, 0.1425039004869331, 0.2140692044148229, 0.23301593125355718, 0.30165967173224584, 0.3926994349644487, 0.23941756624880953]]","[[64171120.0, 64171120.0]]",3.88
16,"[[0.15232627192761994, 0.11060231001115649, 0.2592784153503015, 0.16836247511512364, 0.28699297738607216, 0.1988578761917458, 0.23853612581380756, 0.07469122130967318, 0.10606993127641014, 0.18387728349976512, 0.2992604167974179, 0.22094823858501184]]","[[64171120.0, 64171120.0]]",4.31
16,"[[0.25649864748383777, 0.05624139223773103, 0.21946355574680682, 0.15919813583563558, 0.29760357687795513, 0.35809433867073603, 0.2694067677996412, 0.17461655887839506, 0.4235406636960233, 0.2636683976903508, 0.3073340499879492, 0.2803362373954241]]","[[64171120.0, 64171120.0]]",4.36
16,"[[0.23104149084864814, 0.19034449087506075, 0.15263388456807214, 0.3744291372735677, 0.23295661164659298, 0.2695592975600063, 0.24064340361165246, 0.24051907693251443, 0.1774536415716169, 0.1997074802348454, 0.12387669400505179, 0.2473816436574198]]","[[42159550.0, 42159550.0]]",4.44
16,"[[0.14750875712085942, 0.35720462581036705, 0.22772771421475654, 0.13665664534615307, 0.17071490194910074, 0.1610091292166112, 0.1561706793579934, 0.13197226638151105, 0.23913892511021442, 0.31718094847895006, 0.2098300390514605, 0.15615293648599848]]","[[64171120.0, 64171120.0]]",5.95
16,"[[0.2346428277563394, 0.12708214910228477, 0.20753199296157415, 0.1412751725232374, 0.20598549967528382, 0.0826372416019419, 0.03607381941222043, 0.04350420615404599, 0.2925132706013871, 0.1880967047138225, 0.1565698265181989, 0.13967020925234155]]","[[36959890.0, 36959890.0]]",4.81
16,"[[0.2924233859576269, 0.3719643880189259, 0.09087722106289536, 0.22671767876662532, 0.2915916240212756, 0.1912269394010376, 0.24849178674029118, 0.1623259611421655, 0.21038369686424202, 0.0754959785309145, 0.08706416648762853, 0.19361991677817725]]","[[31685550.0, 31685550.0]]",4.0
16,"[[0.06336708828106788, 0.12475369069695882, 0.14647670551163916, 0.23643155953434278, 0.14401236773353132, 0.12357064174527899, 0.33306861415590633, 0.18032648444972088, 0.2864121334023879, 0.21263689084728574, 0.2768829758963773, 0.03812124738736519]]","[[64171120.0, 64171120.0]]",4.34
16,"[[0.2975527210495316, 0.11866072920408549, 0.18794860968277222, 0.26990531116453564, 0.18111506687702184, 0.15215180007800452, 0.17402471194903693, 0.18652200583013823, 0.1148479287118408, 0.2090236140389698, 0.19573601331778046, 0.23103872856578114]]","[[1230679.0, 1230679.0]]",3.96
