CPUs,Input Parameters,Output,Simulation Time
8,"[[0.20144969828863435, 0.18827032399919344, 0.12127034352447132, 0.1897442334373288, 0.2683959230772186, 0.164975510838424, 0.15180744401767315, 0.10854164290367269, 0.11181944642502491, 0.1540618598324436, 0.14187934395448448, 0.13673656871146572]]","[[64171120.0, 64171040.0]]",4.76
8,"[[0.18456971661786542, 0.08110625428389798, 0.1621626577313469, 0.14004672207014424, 0.06067838469618031, 0.22427881516794826, 0.12816490143191728, 0.3230982363968016, 0.21902523447491656, 0.2992219608263571, 0.33422625354618984, 0.29291197172789013]]","[[64171120.0, 64171110.0]]",4.94
8,"[[0.3677885586681319, 0.2369995713760237, 0.3175038866644925, 0.2355335716730857, 0.21584716479623228, 0.10469498488803362, 0.24982396355627973, 0.1747030936122744, 0.18082189960152212, 0.12573204287492218, 0.17149985671139123, 0.16918838788570714]]","[[64171120.0, 64171120.0]]",4.42
8,"[[0.12422535904205835, 0.2444072469191903, 0.19327814061945064, 0.20876014964223566, 0.28641080001443886, 0.20335348877484888, 0.20931966064571103, 0.18358440859212738, 0.15592751805189364, 0.3254295913410522, 0.07203402465434064, 0.21609063317880814]]","[[64171120.0, 64171120.0]]",4.83
8,"[[0.2501089191196619, 0.05429924730061428, 0.26324974116103583, 0.10678151690638889, 0.14792452735821138, 0.05102356644443956, 0.1062254502628181, 0.2587895325891335, 0.24480558363096638, 0.13948824648035693, 0.226884428958382, 0.12622579120175278]]","[[64171120.0, 64171120.0]]",4.39
8,"[[0.16257394936053332, 0.18146622704594512, 0.24033971683794325, 0.16644968171408922, 0.20480899201624034, 0.2670926236039818, 0.19165796914292088, 0.12357904376635345, 0.07753262653083762, 0.2205163765284106, 0.185680860593279, 0.3674294840744792]]","[[64171120.0, 64171110.0]]",4.31
8,"[[0.2600391446434921, 0.27796679523681656, 0.07726828003753093, 0.2541347215552708, 0.10218530982741789, 0.16016543039993358, 0.3025503809493413, 0.20449149249173476, 0.321996132897005, 0.16435242605781564, 0.2562043298695575, 0.15036966812174316]]","[[64171120.0, 64171120.0]]",5.01
8,"[[0.04571993978353345, 0.11977987896893902, 0.13165833653395975, 0.2471390017269423, 0.36464494153605853, 0.38958057494618537, 0.1385750197445712, 0.30265550282063675, 0.20333048811148477, 0.19522442597698367, 0.2052555220499063, 0.2500658964130432]]","[[64171120.0, 64171120.0]]",4.69
8,"[[0.21329800545572497, 0.2199128759306191, 0.21170960305522976, 0.12607202178689186, 0.18012319065605684, 0.19856186425347283, 0.2300686425036786, 0.1545615063658874, 0.19643102874933377, 0.23905302992798205, 0.1223311548165307, 0.03579893690982053]]","[[64171120.0, 64171120.0]]",4.36
8,"[[0.19762514658616545, 0.35393608001205046, 0.34352372505572704, 0.18059565212269243, 0.22671728254721688, 0.2429608058623408, 0.2687506070436264, 0.23132002444639138, 0.25615199065575817, 0.08459208850448888, 0.30079791281077084, 0.27438301231869]]","[[64171120.0, 64171120.0]]",5.72
8,"[[0.3108617859214514, 0.15401606374700474, 0.15583825200484663, 0.32665594348740734, 0.14304698785657216, 0.13778201373448784, 0.17221110612513993, 0.05315884104408436, 0.14452610258202264, 0.28394969698623984, 0.15540304960367576, 0.18431011902012243]]","[[64171120.0, 64171120.0]]",5.09
8,"[[0.1376665970074888, 0.14068159794757043, 0.16060196457230946, 0.15897501336819136, 0.16642048462766634, 0.16996959444975387, 0.22387470660170108, 0.2483366470967118, 0.20654497814657757, 0.07609925724123859, 0.17267363707483807, 0.15268568048815706]]","[[64171120.0, 64171060.0]]",4.5
8,"[[0.22563234659330805, 0.20551811014350557, 0.3251879436382227, 0.2804115087695017, 0.2617986985191431, 0.2821903637112399, 0.06905692689952739, 0.0914122563958768, 0.19331220334252686, 0.26097703310799536, 0.3271415284511416, 0.3946066756136406]]","[[64171120.0, 64171120.0]]",4.49
